Matrix Type,TH,IF,Stego PSNR,Extracted PSNR
Debruijn,45,0.220,36.33,33.70
Debruijn,45,0.230,35.91,34.13
Debruijn,45,0.240,35.46,34.54
Debruijn,45,0.250,35.02,34.85
Debruijn,45,0.260,34.56,35.17
Debruijn,45,0.270,34.14,35.38
Debruijn,45,0.280,33.72,35.70
Debruijn,45,0.290,33.30,36.10
Debruijn,45,0.300,32.88,36.36
Debruijn,50,0.050,34.31,20.87
Debruijn,50,0.060,34.71,22.61
Debruijn,50,0.070,35.10,23.74
Debruijn,50,0.080,35.49,24.95
Debruijn,50,0.090,35.87,25.88
Debruijn,50,0.100,36.23,26.87
Debruijn,50,0.110,36.56,27.64
Debruijn,50,0.120,36.84,28.43
Debruijn,50,0.130,37.08,29.08
Debruijn,50,0.140,37.26,29.90
Debruijn,50,0.150,37.37,30.39
Debruijn,50,0.160,37.41,30.87
Debruijn,50,0.170,37.38,31.40
Debruijn,50,0.180,37.26,31.91
Debruijn,50,0.190,37.09,32.45
Debruijn,50,0.200,36.86,32.79
Debruijn,50,0.210,36.58,33.37
Debruijn,50,0.220,36.25,33.69
Debruijn,50,0.230,35.91,34.00
Debruijn,50,0.240,35.53,34.50
Debruijn,50,0.250,35.12,34.94
Debruijn,50,0.260,34.75,35.16
Debruijn,50,0.270,34.35,35.33
Debruijn,50,0.280,33.93,35.61
Debruijn,50,0.290,33.53,36.07
Debruijn,50,0.300,33.14,36.40
